4,-0.76
146379,2.61,0
146381,2.68,0.68
146382,2.66,0.66
146383,2.66,0.66
146384,2.66,0.66
146385,2.66,0.66
146386,2.66,0.66
146387,2.66,0.66
146388,2.66,0.66
146389,2.66,0.66
146390,2.66,0.66
146391,2.68,0.68
146392,2.66,0.66
146393,2.66,0.66
146394,2.66,0.66
146395,2.66,0.66
146396,2.66,0.66
146397,2.66,0.66
146398,2.66,0.66
146399,2.66,0.66
146401,2.66,0.66
146402,2.66,0.66
146403,2.66,0.66
146404,2.66,0.66
146405,2.66,0.66
146406,2.66,0.66
146407,2.66,0.66
146408,2.66,0.66
146409,2.66,0.66
146410,2.66,0.66
146411,2.66,0.66
146412,2.66,0.66
146413,2.65,0.65
146414,2.66,0.66
146415,2.66,0.66
146416,2.66,0.66
146417,2.66,0.66
146418,2.66,0.66
146419,2.66,0.66
146420,2.66,0.66
146421,2.69,0.69
146422,2.66,0.66
146423,2.66,0.66
146424,2.66,0.66
146426,2.66,0.66
146427,2.66,0.66
146428,2.66,0.66
146429,2.66,0.66
146430,2.66,0.66
146431,2.66,0.66
146432,2.66,0.66
146433,2.66,0.66
146434,2.66,0.66
146435,2.66,0.66
146436,2.66,0.66
146437,2.66,0.66
146438,2.66,0.66
146439,2.66,0.66
146440,2.66,0.66
146441,2.66,0.66
146442,2.66,0.66
146443,2.66,0.66
146444,2.66,0.66
146445,2.66,0.66
146446,2.66,0.66
146447,2.66,0.66
146448,2.66,0.66
146449,2.68,0.68
146450,2.66,0.66
146451,2.66,0.66
146452,2.66,0.66
146453,2.68,0.68
146454,2.66,0.66
146455,2.66,0.66
146456,2.66,0.66
146457,2.66,0.66
146458,2.66,0.66
146459,2.66,0.66
146460,2.66,0.66
146461,2.66,0.66
146462,2.66,0.66
146463,2.66,0.66
146464,2.66,0.66
146466,2.66,0.66
146467,2.66,0.66
146468,2.66,0.66
146469,2.66,0.66
146470,2.66,0.66
146471,2.66,0.66
146472,2.66,0.66
146473,2.66,0.66
146474,2.66,0.66
146475,2.68,0.68
146476,2.66,0.66
146477,2.66,0.66
146478,2.66,0.66
146479,2.66,0.66
146480,2.68,0.68
146481,2.66,0.66
146482,2.66,0.66
146483,2.66,0.66
146484,2.66,0.66
146485,2.68,0.68
146486,2.66,0.66
146487,2.66,0.66
146488,2.66,0.66
146489,2.66,0.66
146490,2.66,0.66
146491,2.66,0.66
146492,2.66,0.66
146493,2.65,0.65
146494,2.66,0.66
146495,2.66,0.66
146496,2.66,0.66
146497,2.66,0.66
146498,2.66,0.66
146499,2.66,0.66
146500,2.66,0.66
146502,2.68,0.68
146503,2.68,0.68
146504,2.68,0.68
146505,2.68,0.68
146506,2.68,0.68
146507,2.66,0.66
146508,2.66,0.66
146509,2.66,0.66
146510,2.64,0.64
146511,2.68,0.68
146512,2.66,0.66
146513,2.66,0.66
146514,2.66,0.66
146515,2.66,0.66
146516,2.66,0.66
146517,2.66,0.66
146518,2.66,0.66
146519,2.66,0.66
146520,2.66,0.66
146521,2.66,0.66
146522,2.66,0.66
146523,2.66,0.66
146524,2.66,0.66
146525,2.66,0.66
146526,2.66,0.66
146528,2.66,0.66
146529,2.68,0.68
146530,2.68,0.68
146531,2.66,0.66
146532,2.66,0.66
146533,2.66,0.66
146534,2.66,0.66
146535,2.66,0.66
146536,2.66,0.66
146537,2.66,0.66
146538,2.68,0.68
146539,2.66,0.66
146540,2.66,0.66
146541,2.68,0.68
146542,2.66,0.66
146543,2.66,0.66
146544,2.65,0.65
146545,2.64,0.64
146546,2.66,0.66
146547,2.66,0.66
146548,2.66,0.66
146549,2.66,0.66
146550,2.66,0.66
146551,2.66,0.66
146552,2.66,0.66
146553,2.66,0.66
146555,2.66,0.66
146556,2.66,0.66
146557,2.66,0.66
146558,2.66,0.66
146559,2.66,0.66
146560,2.66,0.66
146561,2.66,0.66
146562,2.66,0.66
146563,2.66,0.66
146564,2.66,0.66
146565,2.66,0.66
146566,2.66,0.66
146567,2.66,0.66
146568,2.66,0.66
146569,2.66,0.66
146570,2.66,0.66
146571,2.66,0.66
146572,2.66,0.66
146573,2.68,0.68
146574,2.66,0.66
146575,2.66,0.66
146576,2.66,0.66
146577,2.66,0.66
146578,2.66,0.66
146579,2.66,0.66
146580,2.66,0.66
146581,2.66,0.66
146582,2.66,0.66
146583,2.66,0.66
146584,2.66,0.66
146585,2.66,0.66
146586,2.66,0.66
146587,2.66,0.66
146588,2.66,0.66
146589,2.66,0.66
146590,2.66,0.66
146591,2.66,0.66
146592,2.66,0.66
146593,2.66,0.66
146594,2.66,0.66
146596,2.66,0.66
146597,2.66,0.66
146598,2.66,0.66
146599,2.66,0.66
146600,2.66,0.66
146601,2.66,0.66
146602,2.66,0.66
146603,2.66,0.66
146604,2.66,0.66
146605,2.68,0.68
146606,2.66,0.66
146607,2.66,0.66
146608,2.65,0.65
146609,2.66,0.66
146610,2.66,0.66
146611,2.66,0.66
146612,2.66,0.66
146613,2.66,0.66
146614,2.66,0.66
146615,2.66,0.66
146616,2.66,0.66
146617,2.66,0.66
146618,2.66,0.66
146619,2.66,0.66
146620,2.66,0.66
146621,2.66,0.66
146622,2.66,0.66
146623,2.66,0.66
146624,2.66,0.66
146625,2.66,0.66
146626,2.68,0.68
146627,2.66,0.66
146628,2.68,0.68
146630,2.66,0.66
146631,2.66,0.66
146632,2.66,0.66
146633,2.66,0.66
146634,2.66,0.66
146635,2.66,0.66
146636,2.66,0.66
146637,2.66,0.66
146638,2.66,0.66
146639,2.66,0.66
146640,2.65,0.65
146641,2.66,0.66
146642,2.65,0.65
146643,2.65,0.65
146644,2.65,0.65
146645,2.64,0.64
146646,2.64,0.64
146647,2.62,0.62
146648,2.62,0.62
146649,2.61,0.61
146650,2.61,0.61
146651,2.61,0.61
146652,2.60,0.60
146653,2.60,0.60
146654,2.60,0.60
146655,2.60,0.60
146656,2.58,0.58
146657,2.57,0.57
146658,2.66,0.66
146659,2.55,0.55
146660,2.54,0.54
146661,2.54,0.54
146662,2.54,0.54
146663,2.51,0.51
146664,2.51,0.51
146666,2.50,0.50
146667,2.49,0.49
146668,2.49,0.49
146669,2.47,0.47
146670,2.47,0.47
146671,2.46,0.46
146672,2.46,0.46
146673,2.43,0.43
146674,2.43,0.43
146675,2.42,0.42
146676,2.40,0.40
146677,2.43,0.43
146678,2.39,0.39
146679,2.37,0.37
146680,2.37,0.37
146681,2.36,0.36
146682,2.35,0.35
146683,2.33,0.33
146684,2.33,0.33
146685,2.32,0.32
146686,2.31,0.31
146687,2.29,0.29
146688,2.28,0.28
146689,2.28,0.28
146690,2.26,0.26
146691,2.24,0.24
146693,2.24,0.24
146694,2.22,0.22
146695,2.22,0.22
146696,2.21,0.21
146697,2.20,0.20
146698,2.17,0.17
146699,2.17,0.17
146700,2.15,0.15
146701,2.15,0.15
146702,2.14,0.14
146703,2.13,0.13
146704,2.11,0.11
146705,2.11,0.11
146706,2.10,0.10
146707,2.07,0.07
146708,2.06,0.06
146709,2.04,0.04
146710,2.04,0.04
146711,2.03,0.03
146712,2.02,0.02
146713,2.00,0.00
146715,2.00,0.00
146716,1.99,-0.01
146717,1.98,-0.02
146718,1.96,-0.04
146719,1.95,-0.05
146720,1.93,-0.07
146721,1.93,-0.07
146722,1.85,-0.15
146723,1.91,-0.09
146724,1.88,-0.12
146725,1.86,-0.14
146727,1.86,-0.14
146728,1.86,-0.14
146729,1.80,-0.20
146730,1.82,-0.18
146731,1.81,-0.19
146732,1.80,-0.20
146733,1.80,-0.20
146734,1.81,-0.19
146736,1.77,-0.23
146737,1.75,-0.25
146738,1.74,-0.26
146739,1.73,-0.27
146740,1.71,-0.29
146741,1.70,-0.30
146742,1.69,-0.31
146743,1.67,-0.33
146744,1.67,-0.33
146746,1.64,-0.36
146747,1.64,-0.36
146748,1.63,-0.37
146749,1.59,-0.41
146750,1.60,-0.40
146751,1.60,-0.40
146752,1.59,-0.41
146753,1.58,-0.42
146754,1.56,-0.44
146755,1.55,-0.45
146757,1.53,-0.47
146758,1.52,-0.48
146759,1.51,-0.49
146760,1.49,-0.51
146761,1.48,-0.52
146762,1.55,-0.45
146763,1.47,-0.53
146764,1.48,-0.52
146766,1.44,-0.56
146767,1.42,-0.58
146768,1.42,-0.58
146769,1.40,-0.60
146770,1.38,-0.62
146771,1.38,-0.62
146772,1.37,-0.63
146773,1.36,-0.64
146774,1.34,-0.66
146776,1.33,-0.67
146777,1.31,-0.69
146778,1.30,-0.70
146779,1.29,-0.71
146780,1.27,-0.73
146781,1.27,-0.73
146782,1.26,-0.74
146783,1.26,-0.74
146784,1.23,-0.77
146785,1.24,-0.76
146787,1.22,-0.78
146788,1.20,-0.80
146789,1.20,-0.80
146790,1.23,-0.77
146791,1.19,-0.81
146792,1.19,-0.81
146793,1.18,-0.82
146795,1.16,-0.84
146796,1.16,-0.84
146797,1.09,-0.91
146798,1.15,-0.85
146799,1.15,-0.85
146800,1.16,-0.84
146801,1.13,-0.87
146802,1.13,-0.87
146803,1.11,-0.89
146804,1.15,-0.85
146806,1.12,-0.88
146807,1.12,-0.88
146808,1.15,-0.85
146809,1.12,-0.88
146810,1.13,-0.87
146811,1.11,-0.89
146812,1.11,-0.89
146813,1.11,-0.89
146814,1.11,-0.89
146816,1.11,-0.89
146817,1.11,-0.89
146818,1.09,-0.91
146819,1.09,-0.91
146820,1.13,-0.87
146821,1.09,-0.91
146822,1.09,-0.91
146824,1.09,-0.91
146825,1.13,-0.87
146826,1.09,-0.91
146827,1.09,-0.91
146828,1.09,-0.91
146829,1.09,-0.91
146830,1.09,-0.91
146831,1.09,-0.91
146832,1.09,-0.91
146834,1.09,-0.91
146835,1.09,-0.91
146836,1.02,-0.98
146837,1.08,-0.92
146838,1.08,-0.92
146839,1.09,-0.91
146840,1.09,-0.91
146841,1.08,-0.92
146843,1.08,-0.92
146844,1.08,-0.92
146845,1.08,-0.92
146846,1.08,-0.92
146847,1.08,-0.92
146848,1.09,-0.91
146849,1.08,-0.92
146850,1.08,-0.92
146851,1.08,-0.92
146853,1.11,-0.89
146854,1.09,-0.91
146855,1.08,-0.92
146856,1.09,-0.91
146857,1.08,-0.92
146858,1.08,-0.92
146859,1.08,-0.92
146860,1.09,-0.91
146861,1.09,-0.91
146862,1.08,-0.92
146863,1.09,-0.91
146865,0.89,-1.11
146866,1.07,-0.93
146867,1.02,-0.98
146868,0.98,-1.02
146869,1.08,-0.92
146870,1.09,-0.91
146871,1.08,-0.92
146872,1.08,-0.92
146873,1.09,-0.91
146875,1.09,-0.91
146876,1.09,-0.91
146877,1.09,-0.91
146878,1.09,-0.91
146879,1.09,-0.91
146880,1.09,-0.91
146881,1.09,-0.91
146882,1.08,-0.92
146884,1.08,-0.92
146885,1.09,-0.91
146886,1.12,-0.88
146887,1.09,-0.91
146888,1.09,-0.91
146889,1.09,-0.91
146890,1.09,-0.91
146891,1.08,-0.92
146892,1.13,-0.87
146893,1.09,-0.91
146895,1.09,-0.91
146896,1.09,-0.91
146897,1.09,-0.91
146898,1.08,-0.92
146899,1.09,-0.91
146900,1.09,-0.91
146901,1.09,-0.91
146903,1.09,-0.91
146904,1.09,-0.91
146905,1.09,-0.91
146906,1.09,-0.91
146907,1.09,-0.91
146908,1.11,-0.89
146909,1.09,-0.91
146910,1.09,-0.91
146911,1.09,-0.91
146912,1.12,-0.88
146914,1.09,-0.91
146915,1.11,-0.89
146916,1.11,-0.89
146917,1.11,-0.89
146918,1.09,-0.91
146919,1.13,-0.87
146920,1.07,-0.93
146921,1.11,-0.89
146922,1.11,-0.89
146923,1.11,-0.89
146924,1.01,-0.99
146926,1.11,-0.89
146927,1.11,-0.89
146928,1.01,-0.99
146929,1.12,-0.88
146930,1.11,-0.89
146931,1.11,-0.89
146932,1.11,-0.89
146933,1.11,-0.89
146935,1.02,-0.98
146936,1.11,-0.89
146937,1.12,-0.88
146938,1.11,-0.89
146939,1.04,-0.96
146940,1.04,-0.96
146941,1.11,-0.89
146942,1.11,-0.89
146943,1.12,-0.88
146945,1.11,-0.89
146946,1.11,-0.89
146947,1.11,-0.89
146948,1.11,-0.89
146949,1.11,-0.89
146950,1.11,-0.89
146951,1.12,-0.88
146952,1.11,-0.89
146953,1.12,-0.88
146955,1.11,-0.89
146956,1.12,-0.88
146957,1.11,-0.89
146958,1.11,-0.89
146959,1.11,-0.89
146960,1.09,-0.91
146961,1.04,-0.96
146962,1.12,-0.88
146963,1.12,-0.88
146964,1.13,-0.87
146966,1.12,-0.88
146967,1.15,-0.85
146968,1.12,-0.88
146970,1.12,-0.88
146971,1.12,-0.88
146972,1.12,-0.88
146973,1.12,-0.88
146974,1.12,-0.88
146975,1.12,-0.88
146976,1.12,-0.88
146977,1.12,-0.88
146978,1.12,-0.88
146979,1.11,-0.89
146981,1.12,-0.88
146982,1.15,-0.85
146983,1.15,-0.85
146984,1.12,-0.88
146985,1.12,-0.88
146986,1.12,-0.88
146987,1.12,-0.88
146989,1.12,-0.88
146990,1.13,-0.87
146991,1.13,-0.87
146992,1.15,-0.85
146993,1.13,-0.87
146994,1.12,-0.88
146995,1.15,-0.85
146996,1.12,-0.88
146997,1.13,-0.87
146999,1.13,-0.87
147000,1.13,-0.87
147001,1.13,-0.87
147002,1.16,-0.84
147003,1.13,-0.87
147004,1.12,-0.88
147005,1.13,-0.87
147006,1.12,-0.88
147008,1.13,-0.87
147009,1.15,-0.85
147010,1.13,-0.87
147011,1.13,-0.87
147012,1.15,-0.85
147013,1.13,-0.87
147014,1.13,-0.87
147015,1.09,-0.91
147016,1.04,-0.96
147018,1.13,-0.87
147019,1.13,-0.87
147020,1.02,-0.98
147021,1.13,-0.87
147022,1.15,-0.85
147023,1.13,-0.87
147024,1.13,-0.87
147025,1.13,-0.87
147026,1.13,-0.87
147028,1.13,-0.87
147029,1.13,-0.87
147030,1.15,-0.85
147031,1.13,-0.87
147032,1.15,-0.85
147033,1.13,-0.87
147034,1.13,-0.87
147035,1.13,-0.87
147036,1.13,-0.87
147038,1.13,-0.87
147039,1.13,-0.87
147040,1.13,-0.87
147041,1.15,-0.85
147042,1.16,-0.84
147043,1.15,-0.85
147044,1.15,-0.85
147046,1.15,-0.85
147047,1.15,-0.85
147048,1.15,-0.85
147049,1.15,-0.85
147050,1.15,-0.85
147051,1.15,-0.85
147052,1.15,-0.85
147053,1.16,-0.84
147055,1.18,-0.82
147056,1.15,-0.85
147057,1.15,-0.85
147058,1.20,-0.80
147059,1.18,-0.82
147060,1.16,-0.84
147061,1.15,-0.85
147062,1.15,-0.85
147063,1.13,-0.87
147064,1.15,-0.85
147066,1.15,-0.85
147067,1.15,-0.85
147068,1.16,-0.84
147069,1.15,-0.85
147070,1.16,-0.84
147071,1.15,-0.85
147072,1.16,-0.84
147073,1.16,-0.84
147074,1.15,-0.85
147076,1.15,-0.85
147077,1.15,-0.85
147078,1.15,-0.85
147079,1.15,-0.85
147080,1.18,-0.82
147081,1.15,-0.85
147082,1.16,-0.84
147083,1.15,-0.85
147084,1.16,-0.84
147086,1.16,-0.84
147087,1.15,-0.85
147088,1.16,-0.84
147089,1.16,-0.84
147090,1.16,-0.84
147091,1.15,-0.85
147092,1.16,-0.84
147093,1.18,-0.82
147095,1.16,-0.84
147096,1.16,-0.84
147097,1.16,-0.84
147098,1.16,-0.84
147099,1.16,-0.84
147100,1.16,-0.84
147101,1.16,-0.84
147102,1.16,-0.84
147104,1.18,-0.82
147105,1.16,-0.84
147106,1.19,-0.81
147107,1.16,-0.84
147108,1.16,-0.84
147109,1.18,-0.82
147110,1.16,-0.84
147111,1.16,-0.84
147112,1.08,-0.92
147114,1.18,-0.82
147115,1.18,-0.82
147116,1.16,-0.84
147117,1.16,-0.84
147118,1.22,-0.78
147119,1.16,-0.84
147120,1.16,-0.84
147121,1.16,-0.84
147122,1.16,-0.84
147124,1.20,-0.80
147125,1.18,-0.82
147126,1.19,-0.81
147127,1.16,-0.84
147128,1.18,-0.82
147129,1.18,-0.82
147130,1.16,-0.84
147131,1.18,-0.82
147132,1.18,-0.82
147134,1.18,-0.82
147135,1.18,-0.82
147136,1.18,-0.82
147137,1.19,-0.81
147138,1.13,-0.87
147139,1.20,-0.80
147140,1.18,-0.82
147141,1.18,-0.82
147142,1.16,-0.84
147143,1.19,-0.81
147145,1.18,-0.82
147146,1.18,-0.82
147147,1.19,-0.81
147148,1.18,-0.82
147149,1.18,-0.82
147150,1.11,-0.89
147151,1.18,-0.82
147152,1.07,-0.93
147153,1.18,-0.82
147155,1.18,-0.82
147156,1.19,-0.81
147157,1.20,-0.80
147158,1.19,-0.81
147159,1.18,-0.82
147160,1.18,-0.82
147161,1.18,-0.82
147162,1.18,-0.82
147163,1.18,-0.82
147165,1.18,-0.82
147166,1.19,-0.81
147167,1.20,-0.80
147168,1.19,-0.81
147169,1.19,-0.81
147170,1.19,-0.81
147171,1.19,-0.81
147172,1.19,-0.81
147174,1.19,-0.81
147175,1.19,-0.81
147176,1.19,-0.81
147177,1.20,-0.80
147178,1.19,-0.81
147179,1.19,-0.81
147180,1.19,-0.81
147181,1.20,-0.80
147182,1.19,-0.81
147184,1.22,-0.78
147185,1.19,-0.81
147186,1.19,-0.81
147187,1.20,-0.80
147188,1.19,-0.81
147189,1.20,-0.80
147190,1.18,-0.82
147191,1.18,-0.82
147192,1.19,-0.81
147194,1.19,-0.81
147195,1.22,-0.78
147196,1.19,-0.81
147197,1.22,-0.78
147198,1.19,-0.81
147199,1.19,-0.81
147200,1.19,-0.81
147202,1.23,-0.77
147203,1.20,-0.80
147204,1.20,-0.80
147205,1.24,-0.76
147206,1.20,-0.80
147207,1.20,-0.80
147208,1.20,-0.80
147209,1.19,-0.81
147210,1.20,-0.80
147212,1.20,-0.80
147213,1.20,-0.80
147214,1.20,-0.80
147215,1.20,-0.80
147216,1.18,-0.82
147217,1.20,-0.80
147218,1.20,-0.80
147219,1.22,-0.78
147220,1.20,-0.80
147222,1.20,-0.80
147223,1.20,-0.80
147224,1.22,-0.78
147225,1.23,-0.77
147226,1.20,-0.80
147227,1.22,-0.78
147228,1.20,-0.80
147229,1.20,-0.80
147230,1.24,-0.76
147232,1.22,-0.78
147233,1.22,-0.78
147234,1.20,-0.80
147235,1.18,-0.82
147236,1.20,-0.80
147237,1.20,-0.80
147238,1.22,-0.78
147240,1.22,-0.78
147241,1.20,-0.80
147242,1.12,-0.88
147243,1.20,-0.80
147244,1.22,-0.78
147245,1.16,-0.84
147246,1.22,-0.78
147247,1.22,-0.78
147248,1.20,-0.80
147250,1.24,-0.76
147251,1.22,-0.78
147252,1.16,-0.84
147253,1.24,-0.76
147254,1.22,-0.78
147255,1.20,-0.80
147256,1.22,-0.78
147257,1.23,-0.77
147258,1.22,-0.78
147259,1.19,-0.81
147261,1.22,-0.78
147262,1.22,-0.78
147263,1.22,-0.78
147264,1.22,-0.78
147265,1.22,-0.78
147266,1.23,-0.77
147267,1.22,-0.78
147268,1.22,-0.78
147270,1.22,-0.78
147271,1.22,-0.78
147272,1.15,-0.85
147273,1.24,-0.76
147274,1.22,-0.78
147275,1.22,-0.78
147276,1.22,-0.78
147277,1.22,-0.78
147278,1.22,-0.78
147279,1.22,-0.78
147281,1.24,-0.76
147282,1.22,-0.78
147283,1.22,-0.78
147284,1.23,-0.77
147285,1.23,-0.77
147286,1.26,-0.74
147287,1.23,-0.77
147288,1.23,-0.77
147289,1.23,-0.77
147291,1.23,-0.77
147292,1.23,-0.77
147293,1.23,-0.77
147294,1.23,-0.77
147295,1.23,-0.77
147296,1.23,-0.77
147297,1.23,-0.77
147298,1.23,-0.77
147299,1.23,-0.77
147300,1.23,-0.77
147302,1.23,-0.77
147303,1.23,-0.77
147304,1.23,-0.77
147305,1.23,-0.77
147306,1.23,-0.77
147307,1.23,-0.77
147308,1.23,-0.77
147310,1.23,-0.77
147311,1.23,-0.77
147312,1.24,-0.76
147313,1.23,-0.77
147314,1.23,-0.77
147315,1.26,-0.74
147316,1.23,-0.77
147317,1.23,-0.77
147318,1.23,-0.77
147319,1.23,-0.77
147321,1.23,-0.77
147322,1.24,-0.76
147323,1.24,-0.76
147324,1.23,-0.77
147325,1.23,-0.77
147326,1.24,-0.76
147327,1.23,-0.77
147328,1.24,-0.76
147329,1.15,-0.85
147330,1.24,-0.76
147332,1.23,-0.77
147333,1.24,-0.76
147334,1.19,-0.81
147335,1.24,-0.76
147336,1.24,-0.76
147337,1.23,-0.77
147338,1.24,-0.76
147339,1.22,-0.78
147340,1.24,-0.76
147341,1.26,-0.74
147343,1.24,-0.76
147344,1.24,-0.76
147345,1.24,-0.76
147346,1.16,-0.84
147347,1.24,-0.76
147348,1.26,-0.74
147349,1.24,-0.76
147350,1.24,-0.76
147351,1.24,-0.76
147353,1.24,-0.76
147354,1.22,-0.78
147355,1.29,-0.71
147356,1.24,-0.76
147357,1.24,-0.76
147358,1.24,-0.76
147359,1.27,-0.73
147360,1.24,-0.76
147361,1.24,-0.76
147363,1.24,-0.76
147364,1.24,-0.76
147365,1.29,-0.71
147366,1.23,-0.77
147367,1.24,-0.76
147368,1.24,-0.76
147369,1.24,-0.76
147370,1.26,-0.74
147371,1.26,-0.74
147373,1.24,-0.76
147374,1.26,-0.74
147375,1.27,-0.73
147376,1.24,-0.76
147377,1.26,-0.74
147378,1.26,-0.74
147379,1.26,-0.74
147380,1.26,-0.74
147382,1.26,-0.74
147383,1.26,-0.74
147384,1.26,-0.74
147385,1.26,-0.74
147386,1.24,-0.76
147387,1.26,-0.74
147388,1.27,-0.73
147389,1.26,-0.74
147391,1.18,-0.82
147392,1.26,-0.74
147393,1.26,-0.74
147394,1.27,-0.73
147395,1.26,-0.74
147396,1.26,-0.74
147397,1.26,-0.74
147398,1.26,-0.74
147399,1.26,-0.74
147401,1.26,-0.74
147402,1.26,-0.74
147403,1.27,-0.73
147404,1.26,-0.74
147405,1.26,-0.74
147406,1.26,-0.74
147407,1.27,-0.73
147408,1.27,-0.73
147409,1.27,-0.73
147411,1.27,-0.73
147412,1.27,-0.73
147413,1.30,-0.70
147414,1.27,-0.73
147415,1.27,-0.73
147416,1.26,-0.74
147417,1.27,-0.73
147418,1.27,-0.73
147420,1.27,-0.73
147421,1.27,-0.73
147422,1.27,-0.73
147423,1.30,-0.70
147424,1.27,-0.73
147425,1.27,-0.73
147426,1.27,-0.73
147427,1.27,-0.73
147429,1.27,-0.73
147430,1.27,-0.73
147431,1.27,-0.73
147432,1.27,-0.73
147433,1.27,-0.73
147434,1.27,-0.73
147435,1.30,-0.70
147436,1.27,-0.73
147437,1.26,-0.74
147439,1.27,-0.73
147440,1.30,-0.70
147441,1.26,-0.74
147442,1.27,-0.73
147443,1.19,-0.81
147444,1.23,-0.77
147445,1.27,-0.73
147446,1.26,-0.74
147447,1.30,-0.70
147449,1.26,-0.74
147450,1.27,-0.73
147451,1.24,-0.76
147452,1.26,-0.74
147453,1.27,-0.73
147454,1.26,-0.74
147455,1.27,-0.73
147457,1.18,-0.82
147458,1.26,-0.74
147459,1.29,-0.71
147460,1.26,-0.74
147461,1.26,-0.74
147462,1.26,-0.74
147463,1.26,-0.74
147464,1.26,-0.74
147466,1.27,-0.73
147467,1.26,-0.74
147468,1.26,-0.74
147469,1.26,-0.74
147470,1.26,-0.74
147471,1.26,-0.74
147472,1.26,-0.74
147473,1.26,-0.74
147474,1.26,-0.74
147476,1.26,-0.74
147477,1.26,-0.74
147478,1.26,-0.74
147479,1.26,-0.74
147480,1.26,-0.74
147481,1.26,-0.74
147482,1.26,-0.74
147483,1.27,-0.73
147484,1.26,-0.74
147486,1.26,-0.74
147487,1.27,-0.73
147488,1.26,-0.74
147489,1.26,-0.74
147490,1.27,-0.73
147491,1.26,-0.74
147492,1.26,-0.74
147493,1.26,-0.74
147495,1.20,-0.80
147496,1.26,-0.74
147497,1.19,-0.81
147498,1.26,-0.74
147499,1.26,-0.74
147500,1.26,-0.74
147501,1.19,-0.81
147502,1.26,-0.74
147503,1.26,-0.74
